"customer_id","first_name","last_name","email","active","create_date","rental_count","first_rental_date","last_rental_date","total_revenue","payment_count","avg_payment_amount","ltv_segment"
526,"KARL","SEAL","KARL.SEAL@sakilacustomer.org",1,"2022-02-14","45","2022-05-28 02:40:48+03","2022-08-24 00:21:03+03","221.55","45","4.9233333333333333","A — High value"
148,"ELEANOR","HUNT","ELEANOR.HUNT@sakilacustomer.org",1,"2022-02-14","46","2022-05-29 01:53:18+03","2022-08-23 07:57:04+03","216.54","46","4.7073913043478261","A — High value"
144,"CLARA","SHAW","CLARA.SHAW@sakilacustomer.org",1,"2022-02-14","42","2022-05-27 02:49:27+03","2022-08-23 14:43:30+03","195.58","42","4.6566666666666667","A — High value"
178,"MARION","SNYDER","MARION.SNYDER@sakilacustomer.org",1,"2022-02-14","39","2022-02-14 18:16:03+03","2022-08-22 22:22:40+03","194.61","39","4.9900000000000000","A — High value"
137,"RHONDA","KENNEDY","RHONDA.KENNEDY@sakilacustomer.org",1,"2022-02-14","39","2022-05-30 14:13:52+03","2022-08-23 23:56:04+03","194.61","39","4.9900000000000000","A — High value"
459,"TOMMY","COLLAZO","TOMMY.COLLAZO@sakilacustomer.org",1,"2022-02-14","38","2022-05-25 00:54:33+03","2022-08-23 16:52:50+03","186.62","38","4.9110526315789474","A — High value"
469,"WESLEY","BULL","WESLEY.BULL@sakilacustomer.org",1,"2022-02-14","40","2022-05-26 05:07:43+03","2022-08-23 17:46:33+03","177.60","40","4.4400000000000000","A — High value"
468,"TIM","CARY","TIM.CARY@sakilacustomer.org",1,"2022-02-14","39","2022-05-25 19:17:04+03","2022-08-24 00:24:39+03","175.61","39","4.5028205128205128","A — High value"
236,"MARCIA","DEAN","MARCIA.DEAN@sakilacustomer.org",1,"2022-02-14","42","2022-02-14 18:16:03+03","2022-08-21 23:50:53+03","175.58","42","4.1804761904761905","A — High value"
181,"ANA","BRADLEY","ANA.BRADLEY@sakilacustomer.org",1,"2022-02-14","34","2022-02-14 18:16:03+03","2022-08-23 04:01:20+03","174.66","34","5.1370588235294118","A — High value"
176,"JUNE","CARROLL","JUNE.CARROLL@sakilacustomer.org",1,"2022-02-14","37","2022-05-26 05:17:42+03","2022-08-23 20:36:44+03","173.63","37","4.6927027027027027","A — High value"
259,"LENA","JENSEN","LENA.JENSEN@sakilacustomer.org",1,"2022-02-14","32","2022-05-29 07:30:31+03","2022-08-23 11:52:55+03","170.67","33","5.1718181818181818","A — High value"
50,"DIANE","COLLINS","DIANE.COLLINS@sakilacustomer.org",1,"2022-02-14","35","2022-05-29 13:32:15+03","2022-08-23 23:25:03+03","169.65","35","4.8471428571428571","A — High value"
522,"ARNOLD","HAVENS","ARNOLD.HAVENS@sakilacustomer.org",1,"2022-02-14","33","2022-05-27 17:56:57+03","2022-08-23 20:06:54+03","167.67","33","5.0809090909090909","A — High value"
410,"CURTIS","IRBY","CURTIS.IRBY@sakilacustomer.org",1,"2022-02-14","38","2022-02-14 18:16:03+03","2022-08-23 05:19:34+03","167.62","38","4.4110526315789474","A — High value"
403,"MIKE","WAY","MIKE.WAY@sakilacustomer.org",1,"2022-02-14","35","2022-05-27 20:12:13+03","2022-08-23 01:27:43+03","166.65","35","4.7614285714285714","A — High value"
295,"DAISY","BATES","DAISY.BATES@sakilacustomer.org",1,"2022-02-14","38","2022-02-14 18:16:03+03","2022-08-21 16:51:52+03","162.62","38","4.2794736842105263","A — High value"
209,"TONYA","CHAPMAN","TONYA.CHAPMAN@sakilacustomer.org",1,"2022-02-14","32","2022-05-27 05:55:25+03","2022-08-23 04:51:27+03","161.68","32","5.0525000000000000","A — High value"
373,"LOUIS","LEONE","LOUIS.LEONE@sakilacustomer.org",1,"2022-02-14","35","2022-02-14 18:16:03+03","2022-08-22 12:50:13+03","161.65","35","4.6185714285714286","A — High value"
470,"GORDON","ALLARD","GORDON.ALLARD@sakilacustomer.org",1,"2022-02-14","32","2022-05-25 10:58:25+03","2022-08-21 12:45:01+03","160.68","32","5.0212500000000000","A — High value"
